speech_id,date,title,tone_mean,tone_median,pos_share,neg_share,neu_share,n_sent,label_majority
133,2017-06-06,Financial Education and Consumer Protection: Triggering a Positive Ripple Effect,-0.5076757145339045,-0.5063130259513855,0.0,1.0,0.0,48.0,negative
134,2017-06-06,"Running the Race, Fighting the Good Fight",-0.5202400569854141,-0.5174493789672852,0.0,1.0,0.0,124.0,negative
135,2017-05-26,"Corporate, Environmental and Social Governance: Continuing Capacity Building",-0.506610201133347,-0.5014578104019165,0.0,1.0,0.0,88.0,negative
136,2017-05-25,"Of Central Banking, Art and Legacies",-0.519291633445538,-0.5180509090423584,0.0,1.0,0.0,67.0,negative
137,2017-05-24,Two Sides of the Same Coin: Transforming Challenges into Opportunities,-0.515619276513305,-0.5118938088417053,0.0,1.0,0.0,102.0,negative
138,2017-03-31,The Transformation of the Philippine Retail Payment System,-0.5031718430202552,-0.49254411458969116,0.0,1.0,0.0,62.0,negative
139,2017-03-28,In Pursuit of Sustainable and Inclusive Growth,-0.5336409488463424,-0.5232124328613281,0.0,1.0,0.0,158.0,negative
140,2017-03-23,Learning from Instabilities to Build a Better Market,-0.5064457360262588,-0.5049444437026978,0.0,1.0,0.0,62.0,negative
141,2017-03-14,Philippine Thrift Banks in a Changing Environment,-0.5128136699646988,-0.5055582523345947,0.0,1.0,0.0,97.0,negative
142,2017-03-14,Empowering LGUs with Knowledge Sharing,-0.5172303992734161,-0.5063505172729492,0.0,1.0,0.0,28.0,negative
143,2017-03-11,Philippine Banking in an Integrated Regional Financial Market,-0.5174480389114,-0.5106722712516785,0.0,1.0,0.0,94.0,negative
144,2017-03-10,Advancing Cooperation in an Increasingly Non-Cooperative World,-0.5237027479249031,-0.5163441300392151,0.0,1.0,0.0,51.0,negative
145,2017-03-07,Financial Inclusion,-0.4965178045961592,-0.4953058958053589,0.0,1.0,0.0,45.0,negative
146,2017-01-10,"The Philippine Banking System: the Past, the Present and the Future",-0.5094913988784217,-0.4995320737361908,0.0,1.0,0.0,71.0,negative
147,2017-01-05,Marking Time: Anchoring Strengths Amidst Uncertainties,-0.5229700099163703,-0.513640284538269,0.0,1.0,0.0,111.0,negative
148,2016-12-06,2016 Outstanding Microentrepreneurs: Leading the Way to Success,-0.501832905801148,-0.49844229221343994,0.0,1.0,0.0,44.0,negative
