window_scheme,horizon_h,model,tone_spec,n_common,MSFE_none,MSFE_tone,MSFE_gain,CW_stat,CW_p_one_sided,DM_stat,DM_p_two_sided
rolling,2,Lasso,NEG,48,0.5053934374531703,0.5030139162355093,0.0023795212176610514,0.690409971462543,0.2449682039026675,0.57523660129004,0.565131292081585
rolling,2,Lasso,POSNEG,48,0.5053934374531703,0.508029121592259,-0.0026356841390886565,0.2001902241590942,0.42066590620869326,-0.06481356497352736,0.9483224408736712
rolling,2,Lasso,ToneMean,48,0.5053934374531703,0.48575779199146507,0.019635645461705264,1.0155972418763926,0.1549106094119851,0.874976828044521,0.38158651392545906
rolling,2,OLS,NEG,48,0.47994677669693436,0.4766467502949145,0.0033000264020198733,0.7883435604223687,0.21524788717062426,0.6314083086760629,0.5277735847480054
rolling,2,OLS,POSNEG,48,0.47994677669693436,0.4801263776376083,-0.00017960094067392962,0.3468036021508231,0.3643694353860242,-0.004258220739517134,0.9966024416831245
rolling,2,OLS,ToneMean,48,0.47994677669693436,0.45659790857021343,0.023348868126720934,1.2082844204188006,0.11346893951729686,1.053783704562483,0.2919819557532275
rolling,2,Ridge,NEG,48,0.4877083790831597,0.4839242941291923,0.003784084953967426,0.8549499287060728,0.19628943403042243,0.7031947159295484,0.4819344117926516
rolling,2,Ridge,POSNEG,48,0.4877083790831597,0.4862379474785851,0.0014704316045746069,0.38491771094677313,0.35014919179389326,0.034269397918332,0.9726623274533079
rolling,2,Ridge,ToneMean,48,0.4877083790831597,0.46329287708175765,0.02441550200140208,1.2266434351652704,0.1099783181877898,1.072280808866947,0.2835939239264702
rolling,2,SVR,NEG,48,0.4516321345475623,0.5022048289130737,-0.05057269436551143,-1.6184611487011786,0.9472183734426557,-2.1256045515645714,0.03353620031489646
rolling,2,SVR,POSNEG,48,0.4516321345475623,0.5902050796127996,-0.13857294506523726,-1.579493370901815,0.9428885320765058,-1.7247748659250435,0.08456805296644121
rolling,2,SVR,ToneMean,48,0.4516321345475623,0.5130069878266768,-0.06137485327911446,-1.4292632796729614,0.9235357120438903,-1.661986750086668,0.09651543119267192
rolling,3,ElasticNet,NEG,48,0.5008706309631864,0.499441209677632,0.0014294212855543997,0.43782764821425213,0.3307556134898548,0.3178012947673397,0.7506356685013378
rolling,3,ElasticNet,POSNEG,48,0.5008706309631864,0.5059649176705587,-0.005094286707372331,0.20613478921076903,0.4183428122072085,-0.12892963132737553,0.8974133299338409
rolling,3,ElasticNet,ToneMean,48,0.5008706309631864,0.4818142691748803,0.01905636178830611,1.190562671817002,0.11691265649439864,1.02292625673477,0.30634271388622336
rolling,3,Lasso,NEG,48,0.5129400472014354,0.5111917002837454,0.0017483469176899913,0.517769890286054,0.30230941424351554,0.43072412884653155,0.6666689722172712
rolling,3,Lasso,POSNEG,48,0.5129400472014354,0.5200388504010457,-0.007098803199610315,0.10453205706246835,0.4583735648826627,-0.18446450004564097,0.8536490741003981
rolling,3,Lasso,ToneMean,48,0.5129400472014354,0.4960517097171973,0.01688833748423807,1.1022322509225548,0.13518035718784627,0.9435878781257886,0.3453802890656865
rolling,3,OLS,NEG,48,0.48373180228467216,0.4814647169503219,0.0022670853343502717,0.596027108524469,0.2755785585717989,0.45066943579793384,0.652227814000645
rolling,3,OLS,POSNEG,48,0.48373180228467216,0.4877406370991408,-0.00400883481446862,0.2869870564994656,0.38706111549074973,-0.1008065738803927,0.9197040082257748
rolling,3,OLS,ToneMean,48,0.48373180228467216,0.46282648750497096,0.0209053147797012,1.2591632254226646,0.10398569070098218,1.0815180596794527,0.27946673169088543
rolling,3,Ridge,NEG,48,0.492926130530481,0.49020275602441027,0.0027233745060707415,0.6618806839761461,0.25402384597004635,0.5213483290794491,0.6021241395730079
rolling,3,Ridge,POSNEG,48,0.492926130530481,0.49510221358693607,-0.002176083056455058,0.3378801340043073,0.36772675941651733,-0.053747337105798286,0.9571364677241783
rolling,3,Ridge,ToneMean,48,0.492926130530481,0.47063514332330775,0.022290987207173263,1.2915009141793488,0.09826501915805008,1.1164290929584566,0.26423850609168853
rolling,3,SVR,NEG,48,0.45645518687273023,0.5008759265356604,-0.04442073966293014,-1.3388490437997398,0.9096900894784115,-1.8139681798987597,0.0696826247977338
rolling,3,SVR,POSNEG,48,0.45645518687273023,0.5843367442452051,-0.12788155737247486,-1.3181032161207877,0.9062654509772838,-1.4926747182859865,0.1355223542884214
rolling,3,SVR,ToneMean,48,0.45645518687273023,0.5112860573118366,-0.054830870439106394,-1.0471427231581891,0.852483121315267,-1.29088865630359,0.19674228946336747
rolling,4,ElasticNet,NEG,47,0.49097724419781186,0.49147971395778445,-0.0005024697599725902,-0.045227458153226506,0.5180369959013087,-0.14287690073148548,0.8863874019305276
rolling,4,ElasticNet,POSNEG,47,0.49097724419781186,0.48862831144514945,0.0023489327526624026,0.6318236856169706,0.2637510473261997,0.07804693176328657,0.9377907206709999
rolling,4,ElasticNet,ToneMean,47,0.49097724419781186,0.4661714544282692,0.024805789769542674,1.7668212656674875,0.03862908306110302,1.5840170184468787,0.1131898463467722
rolling,4,Lasso,NEG,47,0.5045601453142622,0.5050210917916512,-0.0004609464773890348,-0.09102818774203297,0.5362649032741189,-0.15246678780728007,0.8788187836444223
rolling,4,Lasso,POSNEG,47,0.5045601453142622,0.5022386388247858,0.002321506489476377,0.588333881745667,0.27815410392345896,0.07908255433050934,0.9369669596765096
rolling,4,Lasso,ToneMean,47,0.5045601453142622,0.48031174673291466,0.02424839858134753,1.7667338553289307,0.03863640535431412,1.5923792644584451,0.11129951247085779
rolling,4,OLS,NEG,47,0.47234746463897764,0.47303951867845834,-0.000692054039480694,-0.03492233375027316,0.5139291641420303,-0.17676021198241057,0.8596967430999822
rolling,4,OLS,POSNEG,47,0.47234746463897764,0.47109613218900037,0.0012513324499772716,0.6403656455198897,0.26096745604099236,0.04094981591820887,0.9673359033683098
rolling,4,OLS,ToneMean,47,0.47234746463897764,0.44748241542653616,0.02486504921244148,1.7583711328353753,0.03934219078466383,1.5645693233679523,0.1176839264975682
