window_scheme,horizon_h,model,tone_spec,n_common,rmse_none_aligned,rmse_aligned,mae_none_aligned,mae_aligned,pct_dRMSE_vs_none
expanding,6,SVR,ToneMean,45,0.5528137961198603,0.6157417644183906,0.4042402684832704,0.4363121680732604,-11.3832123474875
rolling,1,ElasticNet,NEG,48,0.7102669546041376,0.7081037928397169,0.5725426291616355,0.5699800667904574,0.30455616024348
rolling,1,ElasticNet,None,48,0.7102669546041376,0.7102669546041376,0.5725426291616355,0.5725426291616355,
rolling,1,ElasticNet,POSNEG,48,0.7102669546041376,0.7081118105161673,0.5725426291616355,0.5672478386367278,0.3034273344691074
rolling,1,ElasticNet,ToneMean,48,0.7102669546041376,0.6937651105434763,0.5725426291616355,0.5620284541436079,2.3233298344646247
rolling,1,Lasso,NEG,48,0.716962553059112,0.7147966931461495,0.5764802911509336,0.5744982487792941,0.3020882895098729
rolling,1,Lasso,None,48,0.716962553059112,0.716962553059112,0.5764802911509336,0.5764802911509336,
rolling,1,Lasso,POSNEG,48,0.716962553059112,0.7151392368655551,0.5764802911509336,0.5720555067257999,0.2543112169216156
rolling,1,Lasso,ToneMean,48,0.716962553059112,0.7013892172510849,0.5764802911509336,0.5669074902986506,2.172126806564627
rolling,1,OLS,NEG,48,0.7016725121259377,0.6991292159498969,0.5691863552701598,0.5663768229045374,0.3624619936065559
rolling,1,OLS,None,48,0.7016725121259377,0.7016725121259377,0.5691863552701598,0.5691863552701598,
rolling,1,OLS,POSNEG,48,0.7016725121259377,0.7007053833946184,0.5691863552701598,0.56446691921378,0.13783192509410144
rolling,1,OLS,ToneMean,48,0.7016725121259377,0.6845191316030095,0.5691863552701598,0.5573793896666065,2.444641941431721
rolling,1,Ridge,NEG,48,0.7058460412822866,0.7028695645517914,0.5704677616766846,0.5663978390672909,0.4216892291536984
rolling,1,Ridge,None,48,0.7058460412822866,0.7058460412822866,0.5704677616766846,0.5704677616766846,
rolling,1,Ridge,POSNEG,48,0.7058460412822866,0.7036720817175769,0.5704677616766846,0.5638467534511461,0.3079934486506877
rolling,1,Ridge,ToneMean,48,0.7058460412822866,0.688082624337098,0.5704677616766846,0.5580388171834035,2.5166135256519078
rolling,1,SVR,NEG,48,0.685284148455213,0.7059022675530143,0.46768707920771657,0.4927696015576391,-3.0086963406755087
rolling,1,SVR,None,48,0.685284148455213,0.685284148455213,0.46768707920771657,0.46768707920771657,
rolling,1,SVR,POSNEG,48,0.685284148455213,0.7685450419980361,0.46768707920771657,0.5275302461436712,-12.14983503273965
rolling,1,SVR,ToneMean,48,0.685284148455213,0.7152704161598726,0.46768707920771657,0.49190442780487986,-4.375742204493642
rolling,2,ElasticNet,NEG,48,0.7034888324273659,0.701809150863777,0.5731018166055364,0.570587265183407,0.2387644957764572
rolling,2,ElasticNet,None,48,0.7034888324273659,0.7034888324273659,0.5731018166055364,0.5731018166055364,
rolling,2,ElasticNet,POSNEG,48,0.7034888324273659,0.7040918196614885,0.5731018166055364,0.5657716877596978,-0.08571383173802001
rolling,2,ElasticNet,ToneMean,48,0.7034888324273659,0.687818102556643,0.5731018166055364,0.5595001117718471,2.2275733669647
rolling,2,Lasso,NEG,48,0.7109102879078135,0.7092347398679152,0.5792976698314396,0.5771215212349962,0.2356905039072396
rolling,2,Lasso,None,48,0.7109102879078135,0.7109102879078135,0.5792976698314396,0.5792976698314396,
rolling,2,Lasso,POSNEG,48,0.7109102879078135,0.7127616162450522,0.5792976698314396,0.5739347136436203,-0.260416591056386
rolling,2,Lasso,ToneMean,48,0.7109102879078135,0.6969632644490419,0.5792976698314396,0.567463756301395,1.9618542164887336
rolling,2,OLS,NEG,48,0.6927819113522916,0.6903960821839261,0.5640722115414523,0.5606886837921484,0.34438387164416867
rolling,2,OLS,None,48,0.6927819113522916,0.6927819113522916,0.5640722115414523,0.5640722115414523,
rolling,2,OLS,POSNEG,48,0.6927819113522916,0.6929115222289266,0.5640722115414523,0.5553883222600603,-0.018708755888558366
rolling,2,OLS,ToneMean,48,0.6927819113522916,0.6757202887069571,0.5640722115414523,0.5495212689639716,2.4627696488250796
rolling,2,Ridge,NEG,48,0.6983612096065758,0.695646673340132,0.567811078431438,0.5639779893935367,0.3887008941938577
rolling,2,Ridge,None,48,0.6983612096065758,0.6983612096065758,0.567811078431438,0.567811078431438,
rolling,2,Ridge,POSNEG,48,0.6983612096065758,0.6973076419189633,0.567811078431438,0.5581000878738791,0.15086285909350197
